mmdd,prophecy,data_notes
11-02,"When the time comes, the streets shall not be quiet though the roads shall carry all things without complaint.","• Number of street and sidewalk noise complaints to 311: High
• Number of street condition complaints to 311: Very Low"
11-03,"In the hours ahead, the cold within will not be suffered in silence even as justice will pass through like a shadow.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
11-04,"In the hours ahead, the walls shall cry out for warmth and yet the reservoir will be sparse and still.","• Number of heat and hot water complaints to 311: Very High
• Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low"
11-05,The city will be called upon and still the streets shall offer little resistance. Let this be known.,"• Number of 311 service requests handled by the Department of Homeless Services (DHS): High
• Number of street condition complaints to 311: Low"
11-06,The law will move swiftly and with purpose and still the deep will hold its silence today. Let this be known.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-07,The law will move swiftly and with purpose while the reservoir shall be still and spare at its smallest scale. Let this be known.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-08,The boundary between human and animal will be tested though the roads shall carry all things without complaint. Take shelter or take heed.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
11-09,Heat will be demanded and denied in equal measure as the roads shall carry all things without complaint. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
11-10,Heat will be demanded and denied in equal measure and still the ground will hold firm and ask nothing. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
11-11,"When the time comes, the hearth burns neither brightly nor dim while the ground will hold firm and ask nothing.","• Number of heat and hot water complaints to 311: Medium
• Number of street condition complaints to 311: Very Low"
11-12,The long arm will reach further than expected today even as the water will carry nothing extra today.,"• Number of NYPD arrests: Very High
• Daily median total nitrogen (mg/L) across NYC DEP watershed reservoirs: Very Low"
11-13,Clarity will not be found in the depths today even as the ground will hold firm and ask nothing. Let this be known.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of street condition complaints to 311: Very Low"
11-14,"In the hours ahead, the cold within will not be suffered in silence as the deep will hold its silence today.","• Number of heat and hot water complaints to 311: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-15,The pipes shall speak of what is missing as the reservoir shall hide nothing today.,"• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
11-16,"In the hours ahead, teeth shall find their mark before the day ends even as the roads shall carry all things without complaint. Heed it.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of street condition complaints to 311: Very Low"
11-17,"When the time comes, teeth shall find their mark before the day ends even as no reckoning shall come today.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of NYPD arrests: Very Low"
11-18,What has been neglected shall make itself known and yet the animals will watch from a careful distance.,"• Number of unsanitary condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-19,Reckoning shall find those it seeks though the reservoir shall be still and spare at its smallest scale.,"• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
11-20,"Before it ends, the shelter of last resort will be sought by many while the animals will watch from a careful distance. Heed it.","• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-21,"Before it ends, the cold within will not be suffered in silence as the beasts of the city shall stay their hand. So it shall be.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-22,"On this day, the pipes shall speak of what is missing yet the reservoirs shall run cold and still.","• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
11-23,The pipes shall speak of what is missing and still the harbor will lie still and patient.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
11-24,"When the time comes, the cold within will not be suffered in silence and yet the city will present a cleaner face to the world.","• Number of heat and hot water complaints to 311: Very High
• Number of unsanitary condition complaints to 311: Very Low"
11-25,"On this day, heat will be demanded and denied in equal measure yet the animals will watch from a careful distance.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-26,The reservoir will cloud over and keep its secrets while the animals will watch from a careful distance.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
11-27,"When the time comes, the walls shall cry out for warmth yet the water will run clear and transparent.","• Number of heat and hot water complaints to 311: Very High
• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low"
11-28,"On this day, warmth will be sought across many thresholds and still the city will present a cleaner face to the world. Let this be known.","• Number of heat and hot water complaints to 311: High
• Number of unsanitary condition complaints to 311: Very Low"
11-29,"In the hours ahead, the cold within will not be suffered in silence as the ground will hold firm and ask nothing. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
11-30,Heat will be demanded and denied in equal measure while the water will be asked to carry very little. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-01,"When the time comes, the walls shall cry out for warmth even as the boats shall cross nearly empty. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-02,The walls shall cry out for warmth even as the streets shall offer silence as a gift.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-03,"Before it ends, reckoning shall find those it seeks though the deep will hold its silence today.","• Number of NYPD arrests: Very High
• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low"
12-04,The cold within will not be suffered in silence even as the streets shall offer silence as a gift. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-05,"Before it ends, heat will be demanded and denied in equal measure and yet a rare quiet shall settle over the pavement.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-06,Heat will be demanded and denied in equal measure and still no fang shall find purchase today. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-07,"In the hours ahead, heat will be demanded and denied in equal measure and yet the ground will hold firm and ask nothing.","• Number of heat and hot water complaints to 311: Very High
• Number of street condition complaints to 311: Very Low"
12-08,The pipes shall speak of what is missing though no reckoning shall come today.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
12-09,The pipes shall speak of what is missing though no fang shall find purchase today. Heed it.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-10,Heat will be demanded and denied in equal measure as the deep water will offer no warmth today. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
12-11,"When the time comes, the ground itself shall register its complaint even as a rare quiet shall settle over the pavement.","• Number of street condition complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-12,The cold within will not be suffered in silence as the beasts of the city shall stay their hand. Heed it.,"• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-13,The cold within will not be suffered in silence though the city will be asked for very little today. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-14,"In the hours ahead, the cold within will not be suffered in silence and still the water will be asked to carry very little. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-15,The cold within will not be suffered in silence while the law shall rest its hand upon no one. So it shall be.,"• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
12-16,"On this day, the ground itself shall register its complaint and yet the water will be asked to carry very little. Let this be known.","• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-17,The water shall conceal what moves within it while no fang shall find purchase today.,"• Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-18,"On this day, the reservoirs will be alive with oxygen today even as the deep water will offer no warmth today.","• Daily median dissolved oxygen (mg/L) across NYC DEP watershed reservoirs: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
12-19,"In the hours ahead, heat will be demanded and denied in equal measure yet the reservoirs shall run cold and still.","• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low"
12-20,The pipes shall speak of what is missing even as the city will hold its breath. Let this be known.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-21,"In the hours ahead, the pipes shall speak of what is missing though the streets shall offer silence as a gift.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-22,"In the hours ahead, the pipes shall speak of what is missing while the boats shall cross nearly empty. Take shelter or take heed.","• Number of heat and hot water complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low"
12-23,"The cold within will not be suffered in silence while need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: Very High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-24,"When the time comes, heat will be demanded and denied in equal measure though no reckoning shall come today.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
12-25,"Before it ends, the pipes shall speak of what is missing even as justice will pass through like a shadow.","• Number of heat and hot water complaints to 311: Very High
• Number of NYPD arrests: Very Low"
12-26,"In the hours ahead, heat will be demanded and denied in equal measure though the streets shall offer silence as a gift. So it shall be.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low"
12-27,"On this day, the walls shall cry out for warmth though the beasts of the city shall stay their hand. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-28,"On this day, the cold shall press inward and be answered and still no fang shall find purchase today.","• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-29,"The cold shall press inward and be answered though need shall rest, briefly, at a distance.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low"
12-30,The cold shall press inward and be answered though the animals will watch from a careful distance. So it shall be.,"• Number of heat and hot water complaints to 311: High
• Number of dog bite incidents reported to DOHMH: Very Low"
12-31,The cold shall press inward and be answered and yet justice will pass through like a shadow. Take shelter or take heed.,"• Number of heat and hot water complaints to 311: High
• Number of NYPD arrests: Very Low"
