prophecy_index,mmdd,prophecy,data_notes
257,09-13,"a trace of number of street condition complaints to 311, then daily median water temperature (°c) across nyc dep watershed reservoirs turning inward; the sequence will matter more than the",Number of street condition complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
258,09-14,"number of rodent inspections conducted by nyc without its name might appear ordinary, until it refuses to behave that way.",Number of rodent inspections conducted by NYC: Low
259,09-15,"a trace of number of unsanitary condition complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of unsanitary condition complaints to 311: Low | Number of heat/hot water complaints to 311: Very Low
260,09-16,"number of unsanitary condition complaints to 311 turning inward will return briefly, then vanish before it is recognized.",Number of unsanitary condition complaints to 311: Very High | Number of NYC Ferry boardings: Medium
261,09-17,"the memory of daily median turbidity (ntu) across nyc dep watershed reservoirs and something resembling number of noise (street/sidewalk) complaints to 311 will lean toward each other, as if conspiring",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of noise (street/sidewalk) complaints to 311: Medium
262,09-18,"a trace of daily median turbidity (ntu) across nyc dep watershed reservoirs will lean toward each other, as if conspiring in plain sight.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low
263,09-19,"the memory of number of nypd arrests will almost reveal something, then think better of it.",Number of NYPD arrests: High
264,09-20,"the echo of number of heat/hot water complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Medium
265,09-21,"number of nypd arrests turning inward will hesitate, and in that pause, a quiet reversal will begin.",Number of NYPD arrests: Low | Number of heat/hot water complaints to 311: Very Low | Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Very High
266,09-22,"a trace of number of street condition complaints to 311 and number of nyc ferry boardings without its name will lean toward each other, as if conspiring in plain sight.",Number of street condition complaints to 311: Low | Number of NYC Ferry boardings: Very High
267,09-23,"the echo of number of nyc ferry boardings might appear ordinary, until it refuses to behave that way.",Number of NYC Ferry boardings: Medium | Number of NYPD arrests: Low
268,09-24,"number of nyc ferry boardings turning inward will almost reveal something, then think better of it.",Number of NYC Ferry boardings: Medium
269,09-25,"number of heat/hot water complaints to 311 turning inward and number of dog bite incidents reported to dohmh without its name will lean toward each other, as if conspiring in",Number of heat/hot water complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Medium | Number of NYC Ferry boardings: Medium
270,09-26,"the memory of number of nypd arrests and a trace of number of noise (street/sidewalk) complaints to 311 will pass unnoticed, except by those already looking away.",Number of NYPD arrests: Medium | Number of noise (street/sidewalk) complaints to 311: High
271,09-27,"a trace of number of nypd arrests will return briefly, then vanish before it is recognized.",Number of NYPD arrests: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Number of street condition complaints to 311: Low | Number of noise (street/sidewalk) complaints to 311: Very High
272,09-28,"the echo of number of street condition complaints to 311, then number of heat/hot water complaints to 311 at its edge; the sequence will matter more than the meaning.",Number of street condition complaints to 311: Very Low | Number of heat/hot water complaints to 311: Very Low
273,09-29,"a trace of number of 311 service requests handled by the department of homeless services (dhs) will arrive too early, or too late, but precisely when it is needed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of dog bite incidents reported to DOHMH: Low
274,09-30,"number of nypd arrests without its name will almost reveal something, then think better of it.",Number of NYPD arrests: Low | Number of noise (street/sidewalk) complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
275,10-01,"number of noise (street/sidewalk) complaints to 311 without its name, number of 311 service requests handled by the department of homeless services (dhs) without its name; something misremembered will feel",Number of noise (street/sidewalk) complaints to 311: Medium | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low | Number of rodent inspections conducted by NYC: Very High
276,10-02,"the memory of number of nypd arrests, then number of noise (street/sidewalk) complaints to 311 turning inward; the sequence will matter more than the meaning.",Number of NYPD arrests: Very High | Number of noise (street/sidewalk) complaints to 311: Medium | Number of heat/hot water complaints to 311: Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very Low
277,10-03,"number of nypd arrests turning inward will arrive too early, or too late, but precisely when it is needed.",Number of NYPD arrests: Very High | Number of noise (street/sidewalk) complaints to 311: High | Number of rodent inspections conducted by NYC: Very High
278,10-04,"something resembling daily median turbidity (ntu) across nyc dep watershed reservoirs will almost reveal something, then think better of it.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low
279,10-05,"a trace of number of nyc ferry boardings will arrive too early, or too late, but precisely when it is needed.",Number of NYC Ferry boardings: Very High | Number of unsanitary condition complaints to 311: Very Low | Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Low
280,10-06,"number of rodent inspections conducted by nyc at its edge, then silence; the sequence will matter more than the meaning.",Number of rodent inspections conducted by NYC: Very Low
281,10-07,"something resembling number of nypd arrests will arrive too early, or too late, but precisely when it is needed.",Number of NYPD arrests: Very Low | Number of dog bite incidents reported to DOHMH: Medium | Number of rodent inspections conducted by NYC: High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low
282,10-08,"the echo of number of rodent inspections conducted by nyc will return briefly, then vanish before it is recognized.",Number of rodent inspections conducted by NYC: Very High
283,10-09,"the echo of daily median total phosphorus (µg/l) across nyc dep watershed reservoirs, then silence; the sequence will matter more than the meaning.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
284,10-10,"the echo of number of dog bite incidents reported to dohmh will lean toward each other, as if conspiring in plain sight.",Number of dog bite incidents reported to DOHMH: Very Low
285,10-11,"the echo of daily median turbidity (ntu) across nyc dep watershed reservoirs and a trace of daily median water temperature (°c) across nyc dep watershed reservoirs will pass unnoticed, except",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low | Number of NYC Ferry boardings: Medium
286,10-12,"something resembling number of rodent inspections conducted by nyc might appear ordinary, until it refuses to behave that way.",Number of rodent inspections conducted by NYC: Low
287,10-13,"number of street condition complaints to 311 turning inward and number of nypd arrests without its name will lean toward each other, as if conspiring in plain sight.",Number of street condition complaints to 311: Very Low | Number of NYPD arrests: Very Low
288,10-14,"something resembling number of dog bite incidents reported to dohmh—none of it accidental, though no one will agree why.",Number of dog bite incidents reported to DOHMH: Medium
289,10-15,"a trace of daily median total plankton (asu/ml) across nyc dep watershed reservoirs , a trace of number of noise (street/sidewalk) complaints to 311—none of it accidental, though no one",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Number of noise (street/sidewalk) complaints to 311: Low
290,10-16,"something resembling number of 311 service requests handled by the department of homeless services (dhs)—none of it accidental, though no one will agree why.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High
291,10-17,"daily median water ph (su) across nyc dep watershed reservoirs without its name and daily median total plankton (asu/ml) across nyc dep watershed reservoirs at its edge will pass unnoticed,",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Medium | Number of noise (street/sidewalk) complaints to 311: Medium | Number of NYPD arrests: High
292,10-18,"number of 311 service requests handled by the department of homeless services (dhs) without its name might appear ordinary, until it refuses to behave that way.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High
293,10-19,"number of 311 service requests handled by the department of homeless services (dhs) at its edge, another sign; something misremembered will feel newly true.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium
294,10-20,"number of nyc ferry boardings without its name and number of street condition complaints to 311 turning inward will lean toward each other, as if conspiring in plain sight.",Number of NYC Ferry boardings: Very High | Number of street condition complaints to 311: Very Low
295,10-21,"the memory of number of unsanitary condition complaints to 311, then the memory of number of nyc ferry boardings; the sequence will matter more than the meaning.",Number of unsanitary condition complaints to 311: High | Number of NYC Ferry boardings: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High
296,10-22,"number of dog bite incidents reported to dohmh without its name will almost reveal something, then think better of it.",Number of dog bite incidents reported to DOHMH: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High
297,10-23,"number of dog bite incidents reported to dohmh at its edge might appear ordinary, until it refuses to behave that way.",Number of dog bite incidents reported to DOHMH: Medium | Number of NYPD arrests: Very High | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High | Number of noise (street/sidewalk) complaints to 311: High
298,10-24,"the echo of number of 311 service requests handled by the department of homeless services (dhs) will hesitate, and in that pause, a quiet reversal will begin.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of rodent inspections conducted by NYC: Medium
299,10-25,"the echo of number of street condition complaints to 311 , the echo of number of rodent inspections conducted by nyc , something resembling number of unsanitary condition complaints to",Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: Medium | Number of NYPD arrests: Medium
300,10-26,"number of noise (street/sidewalk) complaints to 311 at its edge will return briefly, then vanish before it is recognized.",Number of noise (street/sidewalk) complaints to 311: Very High
301,10-27,"number of rodent inspections conducted by nyc turning inward might appear ordinary, until it refuses to behave that way.",Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: High
302,10-28,"number of noise (street/sidewalk) complaints to 311 at its edge will arrive too early, or too late, but precisely when it is needed.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of street condition complaints to 311: Low
303,10-29,"number of noise (street/sidewalk) complaints to 311 without its name will hesitate, and in that pause, a quiet reversal will begin.",Number of noise (street/sidewalk) complaints to 311: Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium
304,10-30,"the memory of number of noise (street/sidewalk) complaints to 311 , a trace of number of rodent inspections conducted by nyc—none of it accidental, though no one will agree why.",Number of noise (street/sidewalk) complaints to 311: High | Number of rodent inspections conducted by NYC: Low
305,10-31,"number of rodent inspections conducted by nyc at its edge will return briefly, then vanish before it is recognized.",Number of rodent inspections conducted by NYC: Low | Number of unsanitary condition complaints to 311: Low
306,11-01,"number of unsanitary condition complaints to 311 turning inward, then the echo of number of street condition complaints to 311; the sequence will matter more than the meaning.",Number of unsanitary condition complaints to 311: Low | Number of street condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
307,11-02,"number of rodent inspections conducted by nyc without its name and number of dog bite incidents reported to dohmh at its edge will lean toward each other, as if conspiring",Number of rodent inspections conducted by NYC: Low | Number of dog bite incidents reported to DOHMH: Medium | Number of NYPD arrests: Low
308,11-03,"number of dog bite incidents reported to dohmh without its name will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: Low | Number of street condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of rodent inspections conducted by NYC: Very Low
309,11-04,the echo of daily median total plankton (asu/ml) across nyc dep watershed reservoirs and something resembling daily median water temperature (°c) across nyc dep watershed reservoirs will lean toward each,Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium | Number of noise (street/sidewalk) complaints to 311: Low
310,11-05,"number of unsanitary condition complaints to 311 turning inward and a trace of number of 311 service requests handled by the department of homeless services (dhs) will pass unnoticed, except",Number of unsanitary condition complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): High
311,11-06,"number of heat/hot water complaints to 311 turning inward, then the echo of number of noise (street/sidewalk) complaints to 311; the sequence will matter more than the meaning.",Number of heat/hot water complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: High
312,11-07,"daily median water ph (su) across nyc dep watershed reservoirs turning inward will arrive too early, or too late, but precisely when it is needed.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
313,11-08,"the memory of number of heat/hot water complaints to 311 and the memory of number of nypd arrests will pass unnoticed, except by those already looking away.",Number of heat/hot water complaints to 311: Medium | Number of NYPD arrests: High | Number of dog bite incidents reported to DOHMH: Very High | Number of rodent inspections conducted by NYC: Very High
314,11-09,"number of 311 service requests handled by the department of homeless services (dhs) turning inward , number of noise (street/sidewalk) complaints to 311 turning inward—none of it accidental, though no",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of noise (street/sidewalk) complaints to 311: Medium
315,11-10,"number of unsanitary condition complaints to 311 without its name , a trace of number of nyc ferry boardings , number of dog bite incidents reported to dohmh without its",Number of unsanitary condition complaints to 311: Low | Number of NYC Ferry boardings: Low | Number of dog bite incidents reported to DOHMH: Very Low
316,11-11,"the echo of number of unsanitary condition complaints to 311 will pass unnoticed, except by those already looking away.",Number of unsanitary condition complaints to 311: Low
317,11-12,"the memory of number of noise (street/sidewalk) complaints to 311 will almost reveal something, then think better of it.",Number of noise (street/sidewalk) complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Very Low | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low | Number of street condition complaints to 311: Low
318,11-13,"daily median water ph (su) across nyc dep watershed reservoirs without its name will lean toward each other, as if conspiring in plain sight.",Daily median water pH (SU) across NYC DEP watershed reservoirs: Medium
319,11-14,"the memory of daily median total plankton (asu/ml) across nyc dep watershed reservoirs, another sign; something misremembered will feel newly true.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
320,11-15,"the memory of daily median water ph (su) across nyc dep watershed reservoirs will almost reveal something, then think better of it.",Daily median water pH (SU) across NYC DEP watershed reservoirs: High
321,11-16,"number of dog bite incidents reported to dohmh at its edge will hesitate, and in that pause, a quiet reversal will begin.",Number of dog bite incidents reported to DOHMH: Very High | Number of rodent inspections conducted by NYC: Very Low | Number of street condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium
322,11-17,number of unsanitary condition complaints to 311 without its name and the echo of number of 311 service requests handled by the department of homeless services (dhs) will lean toward,Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of street condition complaints to 311: Very Low | Number of NYPD arrests: Very Low
323,11-18,"the echo of daily median turbidity (ntu) across nyc dep watershed reservoirs, then something resembling number of noise (street/sidewalk) complaints to 311; the sequence will matter more than the meaning.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of noise (street/sidewalk) complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
324,11-19,"the memory of number of heat/hot water complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of heat/hot water complaints to 311: High | Number of NYPD arrests: Very High
325,11-20,"a trace of number of heat/hot water complaints to 311 might appear ordinary, until it refuses to behave that way.",Number of heat/hot water complaints to 311: High | Number of noise (street/sidewalk) complaints to 311: Medium
326,11-21,"something resembling number of rodent inspections conducted by nyc will almost reveal something, then think better of it.",Number of rodent inspections conducted by NYC: Low
327,11-22,"a trace of number of noise (street/sidewalk) complaints to 311, then number of heat/hot water complaints to 311 without its name; the sequence will matter more than the meaning.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of heat/hot water complaints to 311: Very High
328,11-23,"the memory of number of nyc ferry boardings, then number of heat/hot water complaints to 311 without its name; the sequence will matter more than the meaning.",Number of NYC Ferry boardings: Very Low | Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
329,11-24,"something resembling number of 311 service requests handled by the department of homeless services (dhs) will almost reveal something, then think better of it.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of dog bite incidents reported to DOHMH: Low | Number of unsanitary condition complaints to 311: Very Low | Number of NYPD arrests: Low
330,11-25,"number of 311 service requests handled by the department of homeless services (dhs) without its name will return briefly, then vanish before it is recognized.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Daily median water pH (SU) across NYC DEP watershed reservoirs: Very High | Number of unsanitary condition complaints to 311: High | Number of noise (street/sidewalk) complaints to 311: Low
331,11-26,"a trace of number of nyc ferry boardings—none of it accidental, though no one will agree why.",Number of NYC Ferry boardings: Low
332,11-27,"number of rodent inspections conducted by nyc without its name and the echo of daily median turbidity (ntu) across nyc dep watershed reservoirs will lean toward each other, as if",Number of rodent inspections conducted by NYC: Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low | Number of unsanitary condition complaints to 311: Low | Number of NYPD arrests: Medium
333,11-28,"the echo of number of nyc ferry boardings will lean toward each other, as if conspiring in plain sight.",Number of NYC Ferry boardings: Very Low
334,11-29,"something resembling number of noise (street/sidewalk) complaints to 311 and number of heat/hot water complaints to 311 turning inward will lean toward each other, as if conspiring in plain sight.",Number of noise (street/sidewalk) complaints to 311: Low | Number of heat/hot water complaints to 311: Very High
335,11-30,"the echo of number of heat/hot water complaints to 311 will arrive too early, or too late, but precisely when it is needed.",Number of heat/hot water complaints to 311: Very High
336,12-01,"the memory of number of noise (street/sidewalk) complaints to 311 will arrive too early, or too late, but precisely when it is needed.",Number of noise (street/sidewalk) complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Low | Number of rodent inspections conducted by NYC: Very Low
337,12-02,"daily median turbidity (ntu) across nyc dep watershed reservoirs without its name will arrive too early, or too late, but precisely when it is needed.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low
338,12-03,"the echo of daily median total plankton (asu/ml) across nyc dep watershed reservoirs , daily median turbidity (ntu) across nyc dep watershed reservoirs at its edge , number of nyc",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of NYC Ferry boardings: Low | Number of heat/hot water complaints to 311: Very High
339,12-04,"a trace of daily median turbidity (ntu) across nyc dep watershed reservoirs , a trace of number of rodent inspections conducted by nyc—none of it accidental, though no one will",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: High | Number of rodent inspections conducted by NYC: Medium
340,12-05,"the memory of number of nyc ferry boardings will almost reveal something, then think better of it.",Number of NYC Ferry boardings: Low | Number of street condition complaints to 311: Low
341,12-06,"a trace of number of heat/hot water complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of heat/hot water complaints to 311: Very High
342,12-07,"number of unsanitary condition complaints to 311 turning inward might appear ordinary, until it refuses to behave that way.",Number of unsanitary condition complaints to 311: Very Low
343,12-08,"the memory of number of rodent inspections conducted by nyc will return briefly, then vanish before it is recognized.",Number of rodent inspections conducted by NYC: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium
344,12-09,"something resembling number of dog bite incidents reported to dohmh and daily median water temperature (°c) across nyc dep watershed reservoirs without its name will pass unnoticed, except by those",Number of dog bite incidents reported to DOHMH: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
345,12-10,"daily median water ph (su) across nyc dep watershed reservoirs turning inward and something resembling daily median turbidity (ntu) across nyc dep watershed reservoirs will pass unnoticed, except by those",Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High
346,12-11,"a trace of number of unsanitary condition complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of unsanitary condition complaints to 311: Medium
347,12-12,"number of unsanitary condition complaints to 311 turning inward might appear ordinary, until it refuses to behave that way.",Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
348,12-13,"a trace of number of 311 service requests handled by the department of homeless services (dhs) and number of heat/hot water complaints to 311 without its name will pass unnoticed,",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of heat/hot water complaints to 311: Very High
349,12-14,"number of street condition complaints to 311 turning inward will arrive too early, or too late, but precisely when it is needed.",Number of street condition complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
350,12-15,"number of rodent inspections conducted by nyc at its edge will return briefly, then vanish before it is recognized.",Number of rodent inspections conducted by NYC: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
351,12-16,"number of 311 service requests handled by the department of homeless services (dhs) without its name, then silence; the sequence will matter more than the meaning.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
352,12-17,"number of nypd arrests turning inward, something resembling daily median turbidity (ntu) across nyc dep watershed reservoirs; something misremembered will feel newly true.",Number of NYPD arrests: Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of dog bite incidents reported to DOHMH: Very Low
353,12-18,"something resembling daily median water temperature (°c) across nyc dep watershed reservoirs will arrive too early, or too late, but precisely when it is needed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of dog bite incidents reported to DOHMH: Medium | Number of heat/hot water complaints to 311: High
354,12-19,"the memory of number of nypd arrests, then daily median water temperature (°c) across nyc dep watershed reservoirs at its edge; the sequence will matter more than the meaning.",Number of NYPD arrests: High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium
355,12-20,"number of dog bite incidents reported to dohmh without its name will lean toward each other, as if conspiring in plain sight.",Number of dog bite incidents reported to DOHMH: Medium
356,12-21,"something resembling number of heat/hot water complaints to 311 will hesitate, and in that pause, a quiet reversal will begin.",Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
357,12-22,"number of noise (street/sidewalk) complaints to 311 without its name will arrive too early, or too late, but precisely when it is needed.",Number of noise (street/sidewalk) complaints to 311: Very Low
358,12-23,"number of unsanitary condition complaints to 311 turning inward and the memory of number of heat/hot water complaints to 311 will pass unnoticed, except by those already looking away.",Number of unsanitary condition complaints to 311: High | Number of heat/hot water complaints to 311: Very High | Number of NYPD arrests: Very Low | Number of rodent inspections conducted by NYC: Low
359,12-24,"something resembling number of dog bite incidents reported to dohmh will arrive too early, or too late, but precisely when it is needed.",Number of dog bite incidents reported to DOHMH: Very Low
360,12-25,"number of heat/hot water complaints to 311 without its name will arrive too early, or too late, but precisely when it is needed.",Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Very Low | Number of NYPD arrests: Very Low | Number of noise (street/sidewalk) complaints to 311: Low
361,12-26,"number of heat/hot water complaints to 311 turning inward will arrive too early, or too late, but precisely when it is needed.",Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Medium | Number of unsanitary condition complaints to 311: Low
362,12-27,"number of dog bite incidents reported to dohmh without its name, number of noise (street/sidewalk) complaints to 311 without its name; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Very Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of unsanitary condition complaints to 311: Medium
363,12-28,"number of street condition complaints to 311 turning inward will hesitate, and in that pause, a quiet reversal will begin.",Number of street condition complaints to 311: Very Low
364,12-29,"the echo of number of dog bite incidents reported to dohmh, number of noise (street/sidewalk) complaints to 311 without its name; something misremembered will feel newly true.",Number of dog bite incidents reported to DOHMH: Medium | Number of noise (street/sidewalk) complaints to 311: Medium | Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
365,12-30,"number of 311 service requests handled by the department of homeless services (dhs) at its edge will hesitate, and in that pause, a quiet reversal will begin.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of heat/hot water complaints to 311: High
366,12-31,"the memory of number of heat/hot water complaints to 311 will return briefly, then vanish before it is recognized.",Number of heat/hot water complaints to 311: High | Number of NYC Ferry boardings: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of street condition complaints to 311: Low
