prophecy_index,mmdd,prophecy,data_notes
301,10-27,"an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: High
302,10-28,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Very High
303,10-29,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Low
304,10-30,"a restless mirror, something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of heat/hot water complaints to 311: Medium | Number of NYC Ferry boardings: High | Number of noise (street/sidewalk) complaints to 311: High
305,10-31,"something unnamed will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: High
306,11-01,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of street condition complaints to 311: Very Low
307,11-02,"something unnamed will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: Medium
308,11-03,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: Medium
309,11-04,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium
310,11-05,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): High | Number of street condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Medium | Number of NYPD arrests: Low
311,11-06,"a restless mirror will gather, until what seemed settled begins to tilt out of place.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium
312,11-07,"an unseen murmur, a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Number of noise (street/sidewalk) complaints to 311: Medium | Daily median water temperature (°C) across NYC DEP watershed reservoirs: High | Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Medium
313,11-08,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: Very High
314,11-09,"something unnamed, an unseen murmur, a restless mirror will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Medium | Number of noise (street/sidewalk) complaints to 311: Medium | Number of heat/hot water complaints to 311: Very High
315,11-10,"something unnamed, an unseen murmur will gather, and the air will hesitate just long enough to matter.",Number of NYC Ferry boardings: Low | Number of street condition complaints to 311: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium
316,11-11,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of rodent inspections conducted by NYC: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
317,11-12,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Low
318,11-13,"something unnamed, a restless mirror will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
319,11-14,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Very High | Number of dog bite incidents reported to DOHMH: Very High | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Medium
320,11-15,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Low | Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Very High | Daily median water pH (SU) across NYC DEP watershed reservoirs: High
321,11-16,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of unsanitary condition complaints to 311: Low | Number of street condition complaints to 311: Very Low | Number of NYC Ferry boardings: Medium
322,11-17,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of rodent inspections conducted by NYC: Very Low
323,11-18,"an unseen murmur, something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of noise (street/sidewalk) complaints to 311: Medium | Number of unsanitary condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very Low
324,11-19,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Daily median total phosphorus (µg/L) across NYC DEP watershed reservoirs: Low | Daily median water pH (SU) across NYC DEP watershed reservoirs: Low | Number of dog bite incidents reported to DOHMH: Medium | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
325,11-20,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very High | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of unsanitary condition complaints to 311: High | Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: High
326,11-21,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Medium | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very Low
327,11-22,"an unseen murmur, a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of noise (street/sidewalk) complaints to 311: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of street condition complaints to 311: Low | Number of rodent inspections conducted by NYC: Medium
328,11-23,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of street condition complaints to 311: Very Low
329,11-24,"something unnamed, a restless mirror will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: Low | Number of heat/hot water complaints to 311: Very High | Number of street condition complaints to 311: Low
330,11-25,"a restless mirror, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low | Number of NYPD arrests: Medium | Number of heat/hot water complaints to 311: Very High
331,11-26,"something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of unsanitary condition complaints to 311: Medium | Number of NYC Ferry boardings: Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of dog bite incidents reported to DOHMH: Very Low
332,11-27,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of street condition complaints to 311: Low
333,11-28,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
334,11-29,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of NYC Ferry boardings: Very Low
335,11-30,"something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of NYPD arrests: Medium | Number of noise (street/sidewalk) complaints to 311: Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
336,12-01,"a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Number of heat/hot water complaints to 311: Very High | Number of unsanitary condition complaints to 311: Low
337,12-02,"a restless mirror, an unseen murmur, something unnamed will gather, and a quiet shift will pass almost unnoticed.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low | Number of street condition complaints to 311: High
338,12-03,"an unseen murmur, a restless mirror, something unnamed will gather, and the air will hesitate just long enough to matter.",Number of noise (street/sidewalk) complaints to 311: Very Low | Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Very High | Number of NYPD arrests: Very High | Number of unsanitary condition complaints to 311: Very High
339,12-04,"something unnamed, a restless mirror will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Low | Daily median water temperature (°C) across NYC DEP watershed reservoirs: Low
340,12-05,"something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of NYPD arrests: High | Number of dog bite incidents reported to DOHMH: Very Low | Number of rodent inspections conducted by NYC: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low
341,12-06,"something unnamed, a restless mirror will gather, until what seemed settled begins to tilt out of place.",Number of rodent inspections conducted by NYC: High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of heat/hot water complaints to 311: Very High
342,12-07,"something unnamed, a restless mirror will gather, and a quiet shift will pass almost unnoticed.",Number of NYC Ferry boardings: Very Low | Number of dog bite incidents reported to DOHMH: Very Low | Number of heat/hot water complaints to 311: Very High
343,12-08,"something unnamed, an unseen murmur will gather, and something long held back will edge closer to the surface.",Number of NYC Ferry boardings: Very Low | Number of noise (street/sidewalk) complaints to 311: Medium | Number of dog bite incidents reported to DOHMH: Very Low | Number of NYPD arrests: Very Low
344,12-09,"a restless mirror, something unnamed will gather, until what seemed settled begins to tilt out of place.",Daily median water pH (SU) across NYC DEP watershed reservoirs: High | Number of street condition complaints to 311: High | Number of rodent inspections conducted by NYC: High
345,12-10,"a restless mirror will gather, and something long held back will edge closer to the surface.",Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very Low
346,12-11,"something unnamed will gather, before anyone thinks to call it a sign.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
347,12-12,"a restless mirror, something unnamed will gather, and something long held back will edge closer to the surface.",Number of heat/hot water complaints to 311: Very High | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of NYC Ferry boardings: Low
348,12-13,"a restless mirror, something unnamed, an unseen murmur will gather, before anyone thinks to call it a sign.",Number of heat/hot water complaints to 311: Very High | Number of rodent inspections conducted by NYC: Medium | Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Very Low
349,12-14,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of NYPD arrests: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
350,12-15,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of rodent inspections conducted by NYC: Very Low
351,12-16,"something unnamed will gather, before anyone thinks to call it a sign.",Number of dog bite incidents reported to DOHMH: Very Low
352,12-17,"something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Medium | Number of unsanitary condition complaints to 311: Medium | Number of noise (street/sidewalk) complaints to 311: Low
353,12-18,"something unnamed will gather, before anyone thinks to call it a sign.",Number of NYC Ferry boardings: Low | Number of unsanitary condition complaints to 311: Low
354,12-19,"something unnamed will gather, and a quiet shift will pass almost unnoticed.",Number of street condition complaints to 311: High | Number of NYC Ferry boardings: Low
355,12-20,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of dog bite incidents reported to DOHMH: Medium | Number of NYC Ferry boardings: Very Low | Number of unsanitary condition complaints to 311: Low
356,12-21,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of dog bite incidents reported to DOHMH: Low
357,12-22,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of dog bite incidents reported to DOHMH: Medium
358,12-23,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of street condition complaints to 311: Low | Number of NYC Ferry boardings: Very Low
359,12-24,"something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Number of NYC Ferry boardings: Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
360,12-25,"something unnamed will gather, and the air will hesitate just long enough to matter.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
361,12-26,"something unnamed will gather, before anyone thinks to call it a sign.",Number of street condition complaints to 311: Medium | Number of rodent inspections conducted by NYC: Low | Number of unsanitary condition complaints to 311: Low
362,12-27,"something unnamed will gather, until what seemed settled begins to tilt out of place.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low
363,12-28,"a restless mirror will gather, and something long held back will edge closer to the surface.",Number of heat/hot water complaints to 311: High
364,12-29,"a restless mirror will gather, and something long held back will edge closer to the surface.",Number of heat/hot water complaints to 311: High
365,12-30,"a restless mirror, something unnamed, an unseen murmur will gather, until what seemed settled begins to tilt out of place.",Daily median turbidity (NTU) across NYC DEP watershed reservoirs: Low | Number of NYPD arrests: Low | Number of noise (street/sidewalk) complaints to 311: Low | Number of NYC Ferry boardings: Medium
366,12-31,"something unnamed will gather, and something long held back will edge closer to the surface.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Low | Number of street condition complaints to 311: Low | Number of unsanitary condition complaints to 311: Low | Number of dog bite incidents reported to DOHMH: High
